number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
40,0.3621930924626117,2026-01-11 14:33:53.967362,2026-01-11 14:34:05.180582,0 days 00:00:11.213220,0.9012465590154993,2.343475704296274,0.011369718068306481,6,0.8262200319373381,232,0.9698819638568614,0.9773847512378033,COMPLETE
41,0.3634286756003731,2026-01-11 14:34:05.190077,2026-01-11 14:34:13.694054,0 days 00:00:08.503977,0.8952130160756954,1.5799070877344557,0.013416456690473536,4,1.711371714860018,201,2.7442093489489006,0.9504387464010192,COMPLETE
42,0.35883203975460276,2026-01-11 14:34:13.699173,2026-01-11 14:34:24.161353,0 days 00:00:10.462180,0.8788088021666672,1.5629039898568666,0.013608287635822334,4,3.3289246550938274,264,2.2358452742278976,0.9396583945019885,COMPLETE
43,0.3561621856622685,2026-01-11 14:34:24.165450,2026-01-11 14:34:34.136055,0 days 00:00:09.970605,0.9048293063374566,1.2001928242970301,0.01706613696114641,5,1.1954740092165301,227,2.3997134451395574,0.9820977497256694,COMPLETE
44,0.36098176599351167,2026-01-11 14:34:34.140385,2026-01-11 14:34:43.660998,0 days 00:00:09.520613,0.769235364248886,1.8038459279642285,0.011290800256548057,3,1.009727269801314,280,6.513463290148643,0.9564878902802753,COMPLETE
45,0.35997677258366406,2026-01-11 14:34:43.666858,2026-01-11 14:34:56.988118,0 days 00:00:13.321260,0.9294702672633129,0.7447278857874853,0.013133402724839309,8,0.5563424191916592,200,0.7962314619412089,0.6078014105420205,COMPLETE
46,0.3542802952060225,2026-01-11 14:34:56.992334,2026-01-11 14:35:09.177373,0 days 00:00:12.185039,0.8403343735319244,2.8760107285604035,0.016260082827285673,4,0.5011858986568546,335,3.60169907156379,0.9148638152224149,COMPLETE
47,0.3542421966451485,2026-01-11 14:35:09.182758,2026-01-11 14:35:18.288274,0 days 00:00:09.105516,0.9584802112201211,0.17358679680937383,0.023978944190902515,4,0.7344019249847982,225,1.3426923314859753,0.9338588864954485,COMPLETE
48,0.3611198473687548,2026-01-11 14:35:18.292569,2026-01-11 14:35:29.314650,0 days 00:00:11.022081,0.8551436492836706,2.0344614688912515,0.01110593815128969,5,2.454436149377844,256,1.9848327453067662,0.997463087917257,COMPLETE
49,0.34376233149289664,2026-01-11 14:35:29.321496,2026-01-11 14:35:45.080695,0 days 00:00:15.759199,0.8192413849512301,0.4534802930747719,0.019804595455971734,3,1.4446597236625953,532,7.986889877579032,0.8852732196853723,COMPLETE
